id,nps_text,
1,continuous_nps_q3_otevrenka,
2,Vždy když něco potřebuji,
3,Mám skvělou bankovní poradkyni paní Kyselovou.,
4,Jsem spokojen,
5,Bez problémů,
6,Mohli by dávat více úroků z vkladů. Jinak spokojen. ,
7,Jsem spokojený s úrovní služeb,
8,Protože jsem to nikdy nerozmýšlel a je to tak 50:50.,
9,Jsem naprosto spokojený,
10,aby jste nezpychli.,
11,Vsetko super!,
12,Nikdy nebyl žádný problém,
13,"Jsem spokojena se svým bankovním poradcem,využívám kartu Speare,prostě bezproblémové poradenetví a vůbec všechno. Prostě nevidím žádný problém.",
14,Myslím,
15,KB dokáže vždy rychle vyřešit můj problém.,
16,Ještě nemáte všechny služby dokonalé - platební terminály tam vidím mezery.,
17,Jsem spokojený s technickým řešením. Applepay,
18,Se vším jsem spokojená,
19,Stabilní bankovní instituce,
20,Příjemné jednání,
21,Nemám žádné problemy. Vše je mě vždy vysvětleno a dokonce s úsměvem. Hodně zdraví přeji v novém roce. Marie,
22,vše ok,
23,Dobrý den. Jsem spokojená již 27 let s Kb. Za tu dobu bych očekávala z vaší strany nějakou výhodu či odměnu. Ale I tak  všem přeji šťastný nový rok a hodně úspěchů. Hana Vítová,
24,Zařizování věcí je příliš komplikované. Chápu,
25,"1) Poplatky za vedeni uctu. 2) Neustale telefonni nabidky typu: muzeme vam pujcit AZ 50.000,-, predstavte si, co byste si za to mohl koupit (nabidka jak pro blbce) 3) operatorka po me chtela presny cas, kdy bych se mel dostavit na pobocku a aby mi nabidli 'lepsi' sluzby, aniz bych o neco zadal. Ale vytrvale chtela znat datum a cas.  Na zaklade tohoto rozhovoru jsem si zridil ucet u Airbank a KB necham uz jen 'dobehnout'..",
26,S poskytováním služeb jsem spokojený. Internetové bankovnictví je také přehledné i placení mobilem je bez problémů.,
27,"Všecko dobrý, jen vaše bankovní produkty, které jsem na doporučení osobní bankéřky na podzim pořídil, zatím nesplnily očekávání. Sama poradkyně je OK! Ivo Doušek",
28,jsem velmi spokojena se všemi službami KB.,
29,Serioznost rychlost spolehlivost jistota a plno dalších výhod.,
30,KB mi vždy vyšla vstříc v čem koli jsem potřeboval pomoci nebo poradit. ,
31,jsem velmi spokojen se službami,
32,Ochota,
33,vždy je co zlepšovat. ,
34,S jednáním v KB jsem byla  vždy spokojena.,
35,prozatím jsme měli dobré zkušenosti s Komerční bankou,
36,KB je 1.,
37,Vždy jsem byl spokojen s přístupem pracovníků KB,
38,"+profesionální přístup osobního bankéře +fungující internetové bankovnictví +neobtěžujete tel. vašími produkty  +pobočka v městě, kde pracuji -poplatek za vedení účtu ( možná ho nazýváte jinak, v dnešní době jsou tyto služby většinou zdarma )  ",
39,Již asi 30 let využívám vašich služeb a nikdy jsem se nestkala a ničím negativním.,
40,Velmi ochotný personál na pobočce. ,
41,Jsem proste spokojena .,
42,ok,
43,sem spokojen se sluzbami KB i s rychlosti vyrizeni jakych koliv transakci.,
44,S personalem na 8 s vami jako bankou a pristupem do ni zde be varmsdorfu 0. Ani po vice nez rokem jsem vam psal phledne bezbarieroveho pristupu. Jak pisete postopite to kompetentnim ve vasi firme. Nestalo se nic. Budu nucen to postoupi já.,
45,Nemam u Vas zadnou vyhodu oproti jinym bankovnim spolecnostem. Uz bych u vas nebyl,
46,Služby jsou velmi dobré vždycky.,
47,Nesetkal jsem se s ničím,
48,Spolehlivost.,
49,Pro drobné nepřesné nedostatky při vyřizování svých záležitostí v poslední době. ,
50,I love you,
51,Jsem velmi spokojená. Dobré internetové bankovnictví i dobré zkušenosti se zaměstnanci v Jirkově.,
52,Jsem letitý zákazník KB,
53,Přístup a nabídka. ,
54,Velmi příjemné jednání ,
55,-,
56,Jsem spokojený. ,
57,Nemám nic co by mi nefugovalo. :) ,
58,Vstřícnost,
59,Mám vynikající kontaktní osobu. Vyhovuje mi mobilní bankovnictví. ,
60,Jsem velmi konzervativní a KB byla před lety moje první banka.Jsem jí prostě věrná.,
61,Fungujete spolehlivě,
62,Při příchodu do banky jsem co nejrychleji obsloužena.,
63,Nemám výhrad,
64,"Dobrý den, nejsem spokojená s bankovnictvím v mobilu, často se mi stává, že se nelze přihlásit přes aplikaci. Jinak se jedná o průměrně kvalitní služby banky. ",
65,bez komentáře.,
66,Některé banky mají výběr z jiníh bankomatu zadarmo a KB za 39 kč ,
67,Vše vyřeší - když je nějaký problém postaví se k tomu čelem a to je to čeho si vážím ,
68,Banka,
69,Jsem zaměstnanec KB,
70,Vždy je co zlepšovat!,
71,Dobrý den,
72,Pro důchodce bez úspor není nejvhodnější.,
73,na 100 procent to není,
74,Jiz vice nez pred mesicem mi pracovnik na pobocce pri nefungujicich systemech slibil,
75,"Moji spokojenost s Vaší bankou jsem nejlépe vyjádřil tím, že jsem moji manželku převedl od Unikreditb. k Vám. Kratochvil",
76,Se všemi službami v KB jsem spokojená a navíc jsem se zatím vždycky setkala s ochotou zaměstnanců,
77,Ale né,
78,Poplatky na účtu,
79,Proto,
80,Vstřícný osobní přístup mého bankéře,
81,Nej banka na světě!!!:),
82,"V tomto roce jsem nebyla 100% spokojena s chováním pracovnice na pobočce Karlovy Vary, Moskevská ulice. Řešila jsem to i s klientskou linkou. Pracovnice nebyla moc vlídná. Jinak spokojenost. S klientskou linkou nemám žádný problém, tam jsem spokojena.",
83,znám i lépe poskytované služby.,
84,Ochota,
85,dnes jsem potřeboval dobít telefon bohužel když jsem poslal 3x autorizační kod  bankou zaslaný vždy jsem dostal odpověď že je chybný to už se mi stalo několikrát jediným řešením je přejít do jiné banky stalo se to i mým kamarádům kreří přešli do jiné banky a jsou spokojeni ,
86,Profesionální a milý přistup ke klientovi. Jsem vždy spokojená.,
87,Poplatky!!!,
88,internetove bankovnictvi,
89,Jsem zcela spokojená ,
90,Spolehlivá a korektní banka,
91,zrusila bych poplatky za vedeni uctu,
92,lze sehnat i vedení účtu bez poplatku ,
93,Vždy je co vylepšit. ,
94,zkušenost  a spokojenost,
95,maximální dlouhodobá spokojenost,
96,líbí se nám ochota personálu  a upozornění na všechny novinky.,
97,Neustale problemy s Applepay a bankovnictvi na mobilu - nikdo z KB neni schopen poradit,
98,Platby jsou dlouho blokovane. Platební karty často nefungují. Komplikované internetové bankovnictví... ,
99,Všechny služby vyřizujete k mojí spokojenosti.,
100,Super úroky na hypotéky.,
101,Měl jsem u vas hypoeku a musel jsem jit k jine bance vaše poradkyně mě prostě odbyla,
102,1-Spořící účet má malé úročení,
103,jsem spokojena,
104,"Moderní mobilní bankovnictví, Kvalitni služby na pobočce.",
105,naprosta spokojenost s mobilni bankou,
106,Poplatek za vedení účtu,
107,Když jsem něco potřebovala,
108,Málo bankomatů,
109,Jsem spokojen se svým bankovním poradcem je to paní Svobodová,
110,Prostě jsem spokojený. nemám co bych vytkl.,
111,V současné době je vše v pořádku,
112,za celé roky jsem neměla žádný problém s účtem,
113,Hodnocení odpovídá mému cítění. Nemám ráda extrémy a 9 z 10 je pro mě osobně natolik dobré hodnocení,
114,"Kdykoiliv jsem potřeboval poradit na př. v inter.bankovnictví,vždy jsem dostal kvalitní informaci(můj poradce L.Beranová). Také se mi líbí úprava pracovišť jednotlivých pracovníků(více soukromí). Ale i celkové prostředí v humpolecké pobočce je příjemné. Informace podávané přes internet jsou prima(ochrana a bezpečnost při int.bankovnictví).Zkrátka vše je pro mne OK. Díky a ať se daří v novém roce a hodně spokojených klientů! S pozdravem M.Uzel",
115,Spolehlivost,
116,super service!,
117,Vaším klientem jsme od roku 1998. To asi hovoří za vše. Děkuji a všem zaměstnancům přeji krásný a úspěšný rok 2020!,
118,Jsem velmi spokojeny s naši bankou ve Vysokem Myte,
119,Vcelku spokojen ,
120,Neprofesionální přístup.Reklamace v řešení 3 měsíce. Nikdo nekomunikuje.,
121,Jsem s KB spokojená. ,
122,Na poplatky to není zrovna ideál. ,
123,Vadi mi ze zamestnanci a to i reditelka banky nevi o svych produktech,
124,Jsem velice spokojený.,
125,Vzdycky se dá zlepšovat ,
126,So službami banky ako takej som veľmi spokojný,
127,Já jsem celkem spokojena se službami,
128,Neustale otravovani Vasich pracovniku na domlouvani schuzek a nabizeni otravnych produktu,
129,zatím jsem neměla problém.,
130,poplatky,
131,Negativní jsou poplatky za vedení účtů a za výběr hotovosti,
132,Caste zmeny,
133,Vysoké poplatky,
134,výborné služby,
135,Ochotný a vstřícný přístup,
136,K plné desítce chybí několik drobností - m.j. např. že je zpoplatněn i vnitrobankovní převod mezi dvěma účty KB a pod.,
137,internetové bankovnictví,
138,Vyhovuje mi ve vsech smerech. Online i mobilni bankong,
139,Jsem naprosto spokojen s přístupem,
140,Celková spokojenost se službami.,
141,"Dobrý den, na KB mě mrzí jedna věc a to je komunikace poradce vs. klient. Kdykoliv jsem něco potřeboval, tak jsem se pomocí nedočkal. Ale abych jenom nekritizoval, tak musím pochválit Vaše nové prostředí v internetovém bankovnictví. Děkuji a přeji vše nej v roce 2020. Lukáš Fešar   ",
142,s komercni bankou jsem velice spokojena,
143,Neustálá výměna poradců,
144,Poplatky za výběr  z jiných bank.,
145,Mám ke KB osobní vztah,
146,Osobně nemám žádnou negativní zkušenost,
147,Poplatky za výběr z jiného bankomatu. Oznámení o připsání finanční částky na účet je časově nespolehlivé. To je problém aplikace. ,
148,Nabízení úvěru bydlení jedny z nejhorších podmínek pro stávající klienty ,
149,Vždy a ochotně mu paní Hrabáková v Č.K. vyšla vstříc. Je to paní na pravém místě ,
150,velký poplatky,
151,Poplatky za vedení účtu a nepřehledné int. bankovnictví.,
152,Díky svým poradkyním(už druhá žena na svém místě).,
153,dlouhá spolupráce,
154,Jsem téměř 100 % spokojený,
155,Pobočka v Hluku - maximálně ochotní pracovníci. A věřím,
156,"Hlavně nesmyslné poplatky. V zahraničí mám stále účet a ikdyz nic neposílám, nic neplatím. S mými příjmy, vůbec nechápu, že to u vás tak funguje. Další věc je opravdu zbytečně velká birokracie. ",
157,Veliká spokojenost. Osobní přístup.,
158,Profesionální služby,
159,Jsem zcela spokojen. Jak s přístupem při osobním jednání,
160,Zavolám své poradkyní a schůzka a vše v brzké době vyřešené ,
161,Vždy je co zlepšit.,
162,Pokud jsem něco potřeboval,
163,Vadí mi zrušení pobočky na Lesne.,
164,Při každém kontaktu mi pracovníci KB ochotně vyšli vstříc.,
165,Vstřícný přístup,
166,Skvělé jednání,
167,Vse ok,
168,Přístup ke klientům . ,
169,pROTOŽE JSEM SI UUBALIL JOINTA A MÁM DNES DOBROU NÁLADU A CHUT ROZDÁVAT RADOST ,
170,Nemám internetové bankovnictví a cítím se diskriminována = šílené poplatky za jednorázový příkaz k platbě atp. ,
171,Skvělá spolupráce ????,
172,Jsem spokojená ze vším,
173,Ne moc přesná reklama?,
174,"Poněkud mně vadí při platbách z účtu přes internetové bankovnictví dvojité zadávání zaslaných sms kódů při platbách malých částek. Nestálo by za to zavést tento ,dubl, až od výše např. 1000Kč ?",
175,Musím platit poplatek za vedení účtu což je v dnešní době směšné.,
176,Na základě mých mnohaletých osobních zkušeností.,
177,strháváte peníze z účtu za kde co. Za podívání se v bankomatu na zůstatek,
178,Profesionální přístup,
179,Ve Valašském Meziříčí beru jako hlavní výhodu vkladomat bankovek. Dále musím říct,
180,spokojenost s lidmi v bance,
181,Jsem velmi spokojena s informovaností,
182,I have account in dejvicka branch. Staffs are very helpful and good,
183,Nemám žádných připomínek ke spolupráci,
184,Foguch,
185,Spokojenost jak na pobočce,
186,Když jsem poprvé za 30 let potřebovala vyřízení lady karty,
187,#NÁZEV?,
188,Je to složité ,
189,Časté vypadky v internetovém bankovnictví. Při vypadcích nefungovala ani karta. ,
190,slozite jednani,
191,Jsem velmi spokojená a proto,
192,jsem velmi spokojen s přístupem a jednáním paní ředitelky,
193,Hodnotím KB velmi pozitivně 8 body. Vyšší počet bodů by mohl vést banku ke ztrátě motivace zlepšovat služb,
194,Některá uživatelská nastavení nejsou možná. Například výpis účtu je až v půlce měsíce. ,
195,Nelíbilo se mi jednání před skončením fixace u Hypotéky. Letos při konci fixace budu odcházet s celým účtem.,
196,Privatizovala jsem KB,
197,Jsem spokojená,
198,Vyhovuje mně možnost složit finanční prostředky na účet prostřednictvím bankomatu,
199,Super bankovní poradce. Děkuji za p. Spitalskou. ,
200,spolehlivost,
201,Komunikace je strašná...,
202,Ne vždy jsem byla spokojená? jestli by se to takto dalo nazvat. ,
203,veškeré služby co využívám mi vyhovují i když se někdy objeví zádrhel,
204,Zrušení pobočky v Konici nám komplikuje dostupnost služeb. Poplatky za vedení účtu. ,
205,Zatím jsem se službami velmi spokojen. Se vším co jsem potřeboval,
206,Jsem spokojený. ,
207,Prijemnost,
208,Operatívní,
209,kdykoliv jsem něco potřebovala,
210,Třeba nemáte spoření pro děti.,
211,nedostal sem hypoteku tak sem si ji musel vzit u sberbanky vypis dostavam na dvakrat -140 a pak + 140 ,
212,Poplatky za vedení účtu,
213,Chybí proaktivní přístup ke klientům. Příliš velká a zkostnatělá banka. Málo inovací.,
214,příjemná atmosfera a zaměstnanci,
215,Omyl,
216,Dobrá zkušenost v případě nesnází,
217,jsem spokojená s prací svého bankov.poradce,
218,vylepšil bych komunikaci ve smyslu když mi končí balíček (na typ účtu) tak mi nebylo předem ohlášeno ani nabídnuto jiné řešení,
219,Nemám důvod nedoporučovat,
220,S KB nemám problémy,
221,Protože mám zdarma vedení účtu ...,
222,Dostupnost pobočky a rychlost v jednání.,
223,Jsem spokojená,
224,Zkostnatělá,
225,Jsem spokojen jak se službami jako takovými (rozsah i kvalita,
226,Fondy jsou nevýnosné,
227,V konkurenci ostatních bank je co zlepšovat.,
228,Jsem spokojený,
229,Jste nejlepší,
230,Při strhavani plateb od některých obchodníků dochází k tomu,
231,"Jednoduchý a zabezpečený přístup na internetbanking, přehledný, v případě potřeby zde uvedený možný kontakt na bankovního poradce (již jsem využil); nízké úrokové sazby u hypotéky, vstřícnost bankéřů na pobočce v Brně na Nám. Svobody a s tím spojené maximální informace k mým požadavkům bez nutnosti uzavírat jakoukoli smlouvu, minimální množství telefonátů z banky (v minulosti jsem měl mBanku, která mne kontaktovala opakovaně, pořád se stejnou nabídkou, operátoři byli až nepříjemní). ",
232,Některé novinky například na internetovém bankovnictví mně nevyhovují. Vadí mi zadávání SMS kódu při přihlášení a ne až při platbě. ,
233,Posílání peněz trvá dlouho ,
234,Bankovní služby mi případnou zkamenělé,
235,Velmi casto se mi meni bankovni poradce. ,
236,Nevyhodne podminky pri zrizovani a prejednavani hypotecniho uveru,
237,vstřícný a aktivní personál.,
238,Strháváte mi poplatky každý měsíc,
239,Se službami bankovního poradce jsem spokojená.,
240,Kokplikovana komunikácia,
241,V KB mám účet již od svého prvního zaměstnání ( tehdy ještě SBČS)  a jako bývalý zaměstnanec nedám na KB dopustit. Vždy mi vyšla vstříc. I moje děti a vnoučata mají u Vás účty. Vřele ji dopuručuji všem svým známým. Přeji pohodový rok 2020.,
242,"Velmi slabé zhodnocení na spořících účtech. Byla mně nabídnuta služba zlaté karty (mám dlouhodobě měsíční příjem nad 50 tis. Kč na běžný účet) na tři roky. Po uplynutí doby tří let mně karta zrušena nebyla, ale bylo mně bez mého souhlasu naúčtováno 1995,- Kč za rok. Tento přístup ke stálému klientovi považuji za netaktní. Utvrzuje mě to v přesvědčení, že poskytnuté 'výhody' KB klientovi jsou pouze dočasné a v případě jejich přetrvání se stávají jednostrannou výhodou pro KB - podivná obchodní strategie. Služby bankovního poradce jsou prakticky neviditelné a kontaktují mě jeho tkzv. asistenti jeho jménem, kteří mně vnucují zcela nevýhodné půjčky nebo služby.  Dobře hodnotím na KB mobilní bankovnictví, které jde s dobou a je operativní.  ",
243,Výplata mi chodila s jednodenním spozdenim,
244,Spokojenost ve všech směrech.,
245,Rychlost vyřízení požadavků. Některé služby jsou pořád dražší,
246,"Problematické řešení změny limitu karty. Nelze měnit limit v internetovém bankovnictví. Nutná vždy osobní schůzka. A i po té změna limitu nenastala a bylo nutné znovu telefonicky urgovat. Vše bylo velice zdlouhavé. Další problém vidím v tom, že v KB Business jsem posílala dvě platby ve výši cca 400 000,- a prošly obě bez ověření autorizačním kodem. To považuji za zcela nepřípustné.",
247,Ochotný a milý přístup na pobočce Horažďovice.,
248,Děkuji KB Nám je spokojení vše,
249,Spokojenost,
250,Velká stabilní banka,
251,Dobrá spolupráce,
252,"*Nezajímám se podrobně o bankovnictví, proto předpokládám, že na trhu mohou existovat i lepší bankovní ústavy *Jako dlouholetý klient, bych si představovala i výhodnější služby *Váš 'spořící' účet mi nepřijde nijak zvlášť výhodný",
253,Vše v pořádku,
254,Dlouhé čekací doby na cokoliv co klient potřebuje realizovat,
255,Síť bankomatů v pořádku,
256,Na Komerční bance mi vadí to,
257,"Dobré a srozumitelné internetové bankovnictví, schopní a dobře připravení osobní bankéři se znalostmi produktů KB. Nízké úroky z běžného konta.",
258,Platba za ucet? V dnešní době? Mam účet jen z duvodu nutnosti k hypotece,
259,Proklientský servis všech na domácí pobočce,
260,S bankou jsem víceméně spokojená,
261,Chybí mi výběry ze všech bankomatů zdarma,
262,Mizerné úročení vložených peněz ! Spořím si na stáří,
263,Osobní bankéři nemají dostatečný rozhled.,
264,příliš mnoho poplatků! Snažte se!,
265,Vstricnost ochota profesionalni pristup,
266,"Uvedene hodnocení jsem dal z duvodu že doposavad mě KB nikdy nezklamala a vždy se pracovníci na pobočce Roudnice Nad Labem snažili, aby mě ve všech mých problemech poradili a pomohli. Moc všem Děkuji !                                                           Dr. K.J.E. Č e r n ý  CsD ",
267,Jsem maximálně spokojený s nabídkou,
268,"Nedostávám notifikace na poplatky, ale jenom na platby.  Na příklad: Nedávno jsem ztratil peněženku s obouma kartama tak jsem si nechal udělat nové. Chtěl jsem si na ně zvíšit limity na pobočce (jak na minulých karet) a dozvěděl jsem se že jsem dostal poplatek 2x 80kc za zvíšení limitu... ",
269,Vždy spokojenost.,
270,Jsem spokojen s bankou,
271,Dobry den,
272,Jsem se službami spokojený.,
273,Nejhorší personal v kb Krakov ,
274,protože jste kokoti,
275,jsem spokojen,
276,Neváží si moc stálých klientů,
277,Mám ještě účet u Monety a tak,
278,Jsem s bankou spokojena. ,
279,dlouholete sluzby,
280,Pokud banku budou tvorit lide jako muj bankovni poradce,
281,Perfektní služby a výborný poradce pan Wudy. ,
282,Rychle jednání když něco potrebuji,
283,Stále mám účet zatížen poplatky,
284,Příjemný,
285,při placení kartou nepoznám v internetovém bankovnictví kdy se mi částka odečetla a kolik mám skutečný stav na učtu.někdy se částka ukáže se zpožděním a já tak musím čekat několik dní na skutečný stav.jediné řešení je sjet si do bankomatu a to je docela zdržení když k němu nemusím. a chci zažádat o snížení úroků na hypotéce ale nejsem si jist zda-li mi to banka uskuteční když jsem u posledního sezení slyšel samé ale.nevadí mi že budu platit víc bance jen chci snížit úroky.,
286,jsem spokojen dostupná síť bankomatů a poboček,
287,"Na pobočce v Dejvické ulici v Praze je minimální vstřícnost ke klientům - při příchodu čekám dlouho než si mne někdo všimne - vyzve mne k jednání, ač očividně je jasné, že pracovnice banky si mne při příchodu vnímali (musí asi nejprve dokončit práci, což částečně chápu nebo si většinou vše 'důležité' sdělit. V neposlední řadě, absolutně urážející výše úroku z vkladu …. Je mou povinností také zmínit, že se jistě nejedná o standard v chování zaměstnanců u všech poboček (Na Poříčí spokojenost). AB.  ",
288,Chybějící produkt pro zhodnocení volných finančních prostředků konzervativní formou. U stávajících produktů jsou proti konkurenci nesrovnatelně nižší úrokové sazby.,
289,10,
290,Nespokojená ze službami a na pobočce ze zaměstnanci. ,
291,Jsem spokojen,
292,nízké úrokové míry na spořících účtech,
293,"předpotopní bezpečnostní přihlašování přes 3 bezpečnostní prvky - což nedokáže jeden spolehlivě chránit jako u jiných bank (předpotopním myslím certifikát a ověřovací sms), neskutečně zdržuje každou transakci, odhodlání pouštět se do e-bankovnictví stojí čas.  neflexibilní půjčky (přestože mám u KB domicialitu přes 30let, nedala mi KB půjčku, pomohla mi jíná banka, a za nižší úrok. Předražené služby (srovnání s airbank např.) Vysoké úroky. ",
294,Běžné bankovnictví je za 10,
295,KB neni schopna prijmout dokumenty v anglictine,
296,některé služby jsou drahé,
297,Je vse velmi komplikovane a platím poplatky za vedení uctů,
